timestamp,open,high,low,close,volume,SMA50,SMA200,RSI,MACD,ATR,target
2024-03-06 04:00:00+00:00,149.978,150.024,149.934,149.94,3014,,,,0.0,,0
2024-03-06 05:00:00+00:00,149.941,149.942,149.809,149.914,3149,,,,-0.0020740740741018726,,0
2024-03-06 06:00:00+00:00,149.916,149.94,149.829,149.846,3809,,,,-0.009099926136997283,,0
2024-03-06 07:00:00+00:00,149.844,149.846,149.326,149.536,10073,,,,-0.03923015295396226,,1
2024-03-06 08:00:00+00:00,149.538,149.808,149.531,149.751,7349,,,,-0.045238391594551786,,0
2024-03-06 09:00:00+00:00,149.752,149.866,149.622,149.646,6871,,,,-0.057806232220684706,,1
2024-03-06 10:00:00+00:00,149.646,149.811,149.57,149.744,6341,,,,-0.05917640670304536,,0
2024-03-06 11:00:00+00:00,149.743,149.8,149.688,149.713,4602,,,,-0.062048464696886185,,0
2024-03-06 12:00:00+00:00,149.714,149.747,149.558,149.634,4678,,,,-0.06989354187501817,,0
2024-03-06 13:00:00+00:00,149.635,149.702,149.336,149.368,12645,,,,-0.09646283548323709,,1
2024-03-06 14:00:00+00:00,149.364,149.448,149.272,149.39,9321,,,,-0.11442495628187999,,0
2024-03-06 15:00:00+00:00,149.39,149.645,149.262,149.37,13209,,,,-0.12878929643713377,,0
2024-03-06 16:00:00+00:00,149.37,149.449,149.13,149.178,8592,,,,-0.1538919641207599,,1
2024-03-06 17:00:00+00:00,149.178,149.357,149.096,149.326,9024,,,30.569619982294526,-0.15999927396839553,0.2444285714285773,0
2024-03-06 18:00:00+00:00,149.326,149.332,149.202,149.267,6074,,,29.469188277871552,-0.16766740249323675,0.2472857142857196,1
2024-03-06 19:00:00+00:00,149.268,149.387,149.256,149.346,7975,,,33.21512974881155,-0.1654624615654825,0.24714285714286177,1
2024-03-06 20:00:00+00:00,149.347,149.472,149.347,149.354,5514,,,34.92647028862157,-0.16121115500882865,0.2482142857142914,1
2024-03-06 21:00:00+00:00,149.359,149.452,149.358,149.41,2241,,,45.4281562873771,-0.15157595864667428,0.21807142857143244,0
2024-03-06 22:00:00+00:00,149.372,149.384,149.292,149.332,1107,,,33.11845248697932,-0.14852187649799475,0.20671428571429015,0
2024-03-06 23:00:00+00:00,149.334,149.338,149.196,149.266,3422,,,34.19301124900004,-0.1497014773615888,0.1994285714285756,0
2024-03-07 00:00:00+00:00,149.262,149.262,148.882,148.898,9571,,,21.263586754286038,-0.17827579168650232,0.20964285714285932,0
2024-03-07 01:00:00+00:00,148.893,148.976,148.56,148.618,11878,,,18.187100375002828,-0.2209676243719798,0.23135714285714318,1
